category;search_tags;regex_pattern;original_skill
HCM;HCM Talent Management;\b(PA[\/\-\s]?TM|[Tt]alent\s[Mm]anagement)\b;HCM Talent Management
HCM;HCM Time & Attendance Management;\b((HR|HCM)[\/\-\s]?TM|[Tt]ime\s[Mm]anagement)\b;HCM Time & Attendance Management
Supply Chain;CO/PS;\bCOPS\b;CO/PS
Supply Chain;CS / SM;\b(CS[\/\-\s]?(S|P)M)\b;CS / SM
Supply Chain;eWM (extended Warehouse Management);\b(e[\/\-]?WM)\b;eWM (extended Warehouse Management)
Supply Chain;LES;\b(LES|LE)\b;LES
Supply Chain;MM;\b([Mm]aterials\s[Mm]anagement|MM)\b;MM
Supply Chain;PM - Plant Maintenance;\b([Pp]lant\s[Mm]anagement|PM)\b;PM - Plant Maintenance
Supply Chain;PP;\b([Pp]roduction\s[Pp]lanning|PP)\b;PP
Supply Chain;PPM - Project & Portfolio Management;\b(PPM|([Pp]roject\s(\&|and)\s[Pp]ortfolio\s[Mm]anagement))\b;PPM - Project & Portfolio Management
Supply Chain;PP-PI;\b(PP[\/\-\s]?PI)\b;PP-PI
Supply Chain;PS;\b([Pp]roject\s[Ss]ystem|PS)\b;PS
Supply Chain;QM;\b([Qq]uality\s[Mm]anagement|QM)\b;QM
Supply Chain;SCM;\b([Ss]upply\s[Cc]hain\s[Mm]anagement|SCM)\b;SCM
Supply Chain;SD;\b(SD|([Ss]ales\s(\&|and)\s[Dd]istributions?))\b;SD
Supply Chain;TM - Transportation Management;\b([Tt]ransportation\s[Mm]anagement|TM)\b;TM - Transportation Management
Supply Chain;WM;\b([Ww]arehouse\s[Mm]anagement|WM)\b;WM
Supply Chain;IBP - Integrated Business Planning;\bI\s?[\/\-]*B\s?[\/\-]*P\b;IBP - Integrated Business Planning
Supply Chain;Ariba;\b([Aa]riba)\b;Ariba
Supply Chain;APO;\bAPO\b;APO
Supply Chain;CRM;\bCRM\b;CRM
Supply Chain;Master Data Governance (MDG);\b(MDG|[Mm]aster\s[Dd]ata\s[Gg]overnance)\b;Master Data Governance (MDG)
Supply Chain;Master Data Management (MDM);\b(MDM|[Mm]aster\s[Dd]ata\s[Mm]anagement)\b;MDM
Supply Chain;MII - Manufacturing Intelligence;\b(MII|[Mm]anufacturing\s[Ii]ntelligence)\b;MII - Manufacturing Intelligence
Supply Chain;DMS;\bDMS\b;DMS
Supply Chain;EAM;\bEAM\b;EAM
Supply Chain;EH&S - Health and Safety;\b(EH[\/\-\&]S|HS[\/\-\&]E)\b;EH&S - Health and Safety
Supply Chain;GTS - Global Trade Services;\b(GTS|[Gg]lobal\s[Tt]rade\s[Ss]ervices?)\b;GTS - Global Trade Services
Supply Chain;PLM;\bPLM\b;PLM
Supply Chain;SRM;\bSRM\b;SRM
Supply Chain;VC - Variant Configuration;\bVC\b;VC - Variant Configuration
SAP;OER - Object Event Repository;\b(OER|[Oo]bject\s[Ee]vent\s[Rr]epository)\b;OER - Object Event Repository
SAP;Archiving - ILM (Information Lifecycle Management);\b(ILM|[Aa]rchiving|[Ii]nformation\s[Ll]ifecycle\s[Mm]anagement)\b;ILM (Information Lifecycle Management)
SAP;Authorizations;\b([Aa]uthori(z|s)ations?)\b;Authorizations
SAP;Business One;\b([Bb]usiness\s[Oo]ne)\b;Business One
SAP;EDI;\bEDI\b;EDI
SAP;GRC;\bGRC\b;GRC
SAP;HANA;\b(((4|S4)([\/\-\&\s])?)?HANA)\b;HANA
SAP;LSMW;\bLSMW\b;LSMW
SAP;Java;\b[Jj]ava\b;Java
Netweaver;ABAP;\bABAP\b;ABAP
Netweaver;BRF+ / DSM;(\bBRF\+|DSM|BRF\s?[Pp]lus\b);BRF+ / DSM
Netweaver;CPI - Cloud Platform Integration;\b(CPI|[Cc]loud\s[Pp]latform\s[Ii]ntegration)\b;CPI - Cloud Platform Integration
Netweaver;Enterprise Portal;\b([Ee]nterprise\s)?[Pp]ortal\b;Enterprise Portal
Netweaver;Mobile;\bSAP[\/\-\&][Mm]obile\b;Mobile
Netweaver;PI/XI;\b(PI[\/\-\&]XI|XI[\/\-\&]PI)\b;PI/XI
Netweaver;PO - Process Orchestration;\b(PO|[Pp]rocess\s[Oo]rchestration)\b;PO - Process Orchestration
Netweaver;PO BPM - Business Process Management;\b(BPM|PO[\/\-\&]BPM|[Bb]usiness\s[Pp]rocess\s[Mm]anagement)\b;PO BPM - Business Process Management
Netweaver;Data Migration;\b([Dd]ata\s[Mm]igration)\b;Data Migration
Netweaver;Gateway;\b[Gg]ateway\b;Gateway
Netweaver;Basis;\b(Basis|BASIS)\b;Basis
Netweaver;UI5;\bUI[\/\-\&]5\b;UI5
Netweaver;WebDynpro;\bWebDynpro\b;WebDynpro
Netweaver;Workflow;\bWorkflow\b;Workflow
Netweaver;HCI - HANA Cloud Integration;\b(HCI|HANA\s[Cc]loud\s[Ii]ntegrat(ion|or))\b;HCI - HANA Cloud Integration
Netweaver;Fiori;\b[Ff]iori\b;Fiori
